n_range,entries,lossPctDay_min,lossPctDay_median,lossPctDay_mean,lossPctDay_std,lossPctDay_max,softLiqDays
4-9,39340,0.0,0.0009364316113342614,0.010989802807285601,0.026157564024653773,0.3892854417379706,5411.026527777778
10-19,17417,0.0,0.00034071729313340767,0.007385497817101843,0.02199767811575971,0.43059416377332554,2389.507638888889
20-35,1023,0.0,0.00014527140991353976,0.002490621040652531,0.006218328969128893,0.06413249276808876,142.90791666666667
36-50,1942,0.0,7.724314078362513e-05,0.005476754664928856,0.013565754659422578,0.13834076442066132,257.0783333333333
